alunoId,cursos
1727974,124318|124127|920089|920089|920083|124303|920085|920085|920085|920090|920090|920091|124176|124317|124198|920087|123529
1729222,124318|123750|920084|123621
1732185,124318|920080|920089
1746304,124318|123807|124217|920081|123787
1746583,124318|123807
1746821,124318|10005
1752902,124318|124328|124112|920094|124260|920080|920089|920083|123122|920084|920081|920091|124354
1761700,124318|920089|920082|920083|920085|920090|920091|920091|920087|920087|124862
1770259,124318|122248|124556
1771124,124318|920094|920085|920081|920081|920081|920081|920091|920087|920088
1796351,124318|123627|124367|920089|920082|123115|122181|121019|122094|124270|920085|120292|120292|124637|124636|124317|121917|124198|124354|920087|124556
1797886,124318|124168|124305
1802104,124
1802773,124318|920085
1808282,124318|124107|920094|920085|920081|10007|124191|123226
1819291,124318|124266|920081
1823790,124
1824001,124318|124318|124212|124212|124168|124168|920090|920090|920081|920081|124603|124808
1826433,124318|920082|124191
1258854,123413|920083|920081|920086
1704081,123413|920082
1712441,123413|920089|920082|920084|920081|920081|920091|920086|121440|920087
1717358,123
1717792,123413|121377|920080|920084|920085|920081|920086|121917|123525|920088
1741049,123413|920089
1752536,123413|920094|920080|920089|920089|920082|920083|920084|920085|920085|920090|124358|920091|920091|124354|123617|920087
1795621,123
1158694,123413|123397|920081|920087
857764,123413|123396|123757|123738|123574|123428|123447
1749174,124475|124475|123758|123758|124433|124433|123763|123763|124460|124460|124464|124464|123627|123627|123866|123866|123807|123807|122438|122438|124028|124028|122877|122877|122181|122181|122094|122094|124000|124000|123691|123691|124278|124278|123743|123743|124565|124565|123754|123754|920090|920090|123053|123053|124074|124074|123434|123434|124603|124603|123679|123679|123547|123547|120018|120018|124317|124317|121440|121440|123828|123828|123260|123260|124354|124354|124466|124466|122248|122248|124482|124482|123864|123864|123886|123886|123695|123695|124124|124124|124253|124253|124187|124187|123920|123920|124347|124347|123674|123674
1771491,124475|124551|124603|124533
1777837,124475|124412|124603|124637
1179839,124300|10004|920083|920084|124423
1227709,124300|920080
1708963,124300|124430|124127|124168|124367|920094|124186|124099|920090|124358|124125|920092|123086|124495|124392|124599|124577|124305|124354|124140|124155
1721169,124300|124271
1710373,123
1712612,123
1786750,123396|920081|124603
1791881,123
